CustomerID,ProductID,ReviewDate,Rating,ReviewText
C050,P054,2025-03-19,4,Would definitely recommend
C070,P078,2024-09-27,5,Best purchase I've made this year!
C029,P035,2024-10-13,4,Great quality for the price
C050,P044,2024-07-12,5,Best purchase I've made this year!
C093,P022,2025-01-04,5,Absolutely love this product!
C080,P069,2024-12-08,1,Complete waste of money
C076,P073,2024-11-08,5,Absolutely love this product!
C083,P055,2024-12-21,2,Some quality issues
C024,P007,2024-05-21,3,Meets basic expectations
C028,P059,2024-07-08,3,Meets basic expectations
C036,P097,2024-06-21,5,Best purchase I've made this year!
C033,P011,2024-10-23,4,Would definitely recommend
C070,P007,2025-05-04,5,Best purchase I've made this year!
C029,P084,2025-01-28,2,Not worth the price
C006,P097,2025-02-21,1,Terrible product
C026,P003,2024-07-27,4,Great quality for the price
C017,P061,2025-01-29,5,Exceeded all my expectations
C028,P060,2024-07-14,5,Best purchase I've made this year!
C022,P078,2024-05-18,4,Would definitely recommend
C092,P015,2024-07-14,5,Absolutely love this product!
C040,P014,2024-07-09,4,Very satisfied with this purchase
C074,P087,2024-12-17,5,Best purchase I've made this year!
C051,P092,2024-05-28,3,Average product
C089,P081,2025-03-01,3,Average product
C099,P039,2025-01-30,5,Exceeded all my expectations
C016,P073,2024-08-22,5,Best purchase I've made this year!
C069,P055,2024-10-01,5,Absolutely love this product!
C065,P083,2024-06-12,3,Meets basic expectations
C063,P014,2024-11-13,4,Very satisfied with this purchase
C082,P059,2024-07-23,5,Best purchase I've made this year!
C023,P094,2025-03-16,4,Would definitely recommend
C035,P079,2024-09-13,5,Exceeded all my expectations
C100,P062,2024-06-21,4,Would definitely recommend
C076,P035,2024-12-25,3,"It's okay, nothing special"
C012,P036,2024-11-15,5,Absolutely love this product!
C097,P060,2025-05-02,4,Would definitely recommend
C049,P044,2024-08-01,1,Complete waste of money
C024,P063,2024-11-04,3,Meets basic expectations
C044,P036,2024-07-10,5,Exceeded all my expectations
C036,P072,2025-05-05,1,Terrible product
C011,P031,2025-04-03,5,Best purchase I've made this year!
C072,P098,2024-06-05,3,Meets basic expectations
C083,P092,2024-08-07,4,Great quality for the price
C012,P038,2025-02-26,3,Average product
C032,P040,2025-03-23,5,Best purchase I've made this year!
C061,P071,2025-04-10,4,Very satisfied with this purchase
C096,P071,2024-08-22,3,Average product
C059,P035,2025-01-12,3,"It's okay, nothing special"
C016,P093,2025-03-12,3,"It's okay, nothing special"
C096,P069,2024-11-28,5,Exceeded all my expectations
C024,P025,2024-05-27,3,Meets basic expectations
C036,P093,2024-12-08,4,Would definitely recommend
C077,P037,2025-03-22,5,Absolutely love this product!
C038,P030,2025-02-11,4,Very satisfied with this purchase
C002,P091,2024-06-28,4,Very satisfied with this purchase
C006,P007,2024-11-03,4,Would definitely recommend
C017,P082,2024-07-06,5,Best purchase I've made this year!
C014,P002,2024-12-14,4,Very satisfied with this purchase
C062,P057,2024-10-05,3,"It's okay, nothing special"
C033,P062,2024-06-03,2,Could be better
C052,P063,2024-09-01,2,Not worth the price
C088,P007,2024-10-18,3,Average product
C039,P011,2024-06-22,5,Absolutely love this product!
C072,P098,2024-11-12,4,Would definitely recommend
C080,P029,2024-12-18,5,Best purchase I've made this year!
C058,P057,2025-02-08,3,Average product
C055,P040,2025-02-28,4,Great quality for the price
C079,P095,2024-12-22,2,Could be better
C081,P028,2025-02-04,3,"It's okay, nothing special"
C021,P031,2024-10-11,3,"It's okay, nothing special"
C021,P001,2024-10-07,4,Would definitely recommend
C077,P061,2024-05-23,3,"It's okay, nothing special"
C037,P091,2025-03-23,3,Meets basic expectations
C010,P088,2025-03-24,3,Meets basic expectations
C081,P076,2024-06-21,5,Absolutely love this product!
C055,P015,2025-02-20,4,Would definitely recommend
C020,P035,2024-07-30,5,Absolutely love this product!
C008,P022,2024-11-25,5,Exceeded all my expectations
C096,P073,2025-05-01,5,Best purchase I've made this year!
C016,P060,2024-11-16,5,Exceeded all my expectations
C052,P035,2024-06-26,4,Very satisfied with this purchase
C057,P011,2024-10-17,4,Very satisfied with this purchase
C095,P042,2025-01-31,4,Great quality for the price
C012,P030,2024-07-19,5,Exceeded all my expectations
C076,P003,2025-04-21,5,Exceeded all my expectations
C035,P074,2024-09-13,1,Terrible product
C061,P067,2024-07-18,5,Best purchase I've made this year!
C024,P075,2025-02-25,4,Very satisfied with this purchase
C012,P061,2024-12-22,3,Meets basic expectations
C042,P086,2024-07-12,2,Could be better
C043,P053,2025-02-21,5,Best purchase I've made this year!
C085,P052,2025-05-11,5,Exceeded all my expectations
C005,P059,2024-06-10,2,Some quality issues
C042,P015,2025-02-10,5,Best purchase I've made this year!
C066,P001,2025-05-06,5,Exceeded all my expectations
C060,P053,2025-03-09,2,Not worth the price
C047,P080,2024-10-11,5,Exceeded all my expectations
C057,P098,2024-07-24,2,Some quality issues
C071,P017,2024-10-13,5,Best purchase I've made this year!
C090,P063,2025-02-08,2,Not worth the price
C078,P031,2025-01-08,5,Best purchase I've made this year!
C071,P002,2025-03-21,4,Great quality for the price
C029,P015,2024-10-20,4,Great quality for the price
C083,P020,2025-01-12,4,Would definitely recommend
C038,P066,2025-01-30,5,Best purchase I've made this year!
C062,P061,2025-01-30,3,Average product
C019,P050,2025-02-23,3,Average product
C066,P096,2024-07-31,5,Absolutely love this product!
C036,P099,2024-10-14,5,Best purchase I've made this year!
C044,P065,2025-04-23,3,"It's okay, nothing special"
C037,P093,2024-09-17,3,Average product
C075,P085,2024-09-08,4,Great quality for the price
C058,P069,2024-06-24,4,Very satisfied with this purchase
C071,P098,2024-11-30,4,Very satisfied with this purchase
C042,P025,2025-02-14,5,Absolutely love this product!
C074,P050,2024-07-08,3,Meets basic expectations
C006,P041,2024-09-24,5,Exceeded all my expectations
C049,P050,2024-08-16,5,Exceeded all my expectations
C020,P064,2024-11-20,5,Absolutely love this product!
C065,P076,2025-02-11,3,"It's okay, nothing special"
C057,P013,2025-05-07,4,Very satisfied with this purchase
C002,P093,2025-04-15,2,Not worth the price
C020,P010,2024-10-31,4,Very satisfied with this purchase
C044,P080,2024-05-15,5,Exceeded all my expectations
C011,P043,2025-04-10,5,Exceeded all my expectations
C049,P041,2024-08-01,4,Very satisfied with this purchase
C070,P005,2024-08-20,4,Great quality for the price
C081,P088,2024-10-27,5,Absolutely love this product!
C096,P012,2024-12-28,4,Great quality for the price
C098,P082,2025-03-19,5,Absolutely love this product!
C057,P022,2024-12-05,5,Absolutely love this product!
C006,P042,2024-11-05,5,Best purchase I've made this year!
C046,P048,2024-08-17,4,Great quality for the price
C068,P053,2024-10-21,4,Great quality for the price
C022,P023,2025-03-28,2,Some quality issues
C080,P088,2025-01-28,3,Average product
C019,P030,2024-05-23,4,Very satisfied with this purchase
C059,P033,2025-02-16,5,Best purchase I've made this year!
C037,P087,2024-06-05,4,Great quality for the price
C057,P045,2025-01-11,5,Best purchase I've made this year!
C082,P055,2024-11-22,5,Best purchase I've made this year!
C039,P026,2024-12-11,5,Best purchase I've made this year!
C014,P031,2024-05-19,4,Very satisfied with this purchase
C074,P038,2024-10-04,5,Best purchase I've made this year!
C003,P085,2024-12-26,4,Great quality for the price
C073,P088,2025-01-27,5,Absolutely love this product!
C078,P096,2025-01-26,4,Very satisfied with this purchase
C100,P030,2024-10-22,4,Very satisfied with this purchase
C029,P082,2024-05-21,3,Meets basic expectations
C087,P097,2024-10-13,5,Exceeded all my expectations
C088,P018,2025-03-02,4,Would definitely recommend
C083,P006,2025-03-18,3,Meets basic expectations
C005,P075,2024-10-01,4,Great quality for the price
C012,P038,2025-03-27,3,Meets basic expectations
C023,P026,2024-10-05,2,Not worth the price
C047,P068,2024-09-15,4,Very satisfied with this purchase
C022,P033,2024-09-05,5,Best purchase I've made this year!
C038,P096,2024-08-16,5,Absolutely love this product!
C060,P010,2025-02-01,2,Could be better
C087,P093,2024-11-18,5,Best purchase I've made this year!
C072,P047,2024-06-24,2,Some quality issues
C002,P034,2024-07-27,4,Very satisfied with this purchase
C048,P087,2025-01-01,5,Best purchase I've made this year!
C075,P049,2024-11-13,5,Best purchase I've made this year!
C014,P087,2024-08-09,3,"It's okay, nothing special"
C080,P072,2024-09-07,3,Average product
